price,price_liter,title,promotion,brand,container,volumen_unid,quantity_pack,image_url,supermarket
3.1,2.08,"Cerveza 0,0 ESTRELLA GALICIA, pack botellín 6x25 cl",No promotion,0 ESTRELLA GALICIA,No specified,25 cl,6,Not image,Eroski
11.33,1.91,"Cerveza HEINEKEN, pack lata 18x33 cl",No promotion,HEINEKEN,lata,33 cl,18,Not image,Eroski
3.75,2.52,"Cerveza holandesa HEINEKEN, pack botellín 6x25 cl",No promotion, HEINEKEN,No specified,25 cl,6,Not image,Eroski
1.49,2.98,"Cerveza alemana PAULANER Heffe Weissbier, botellín 50 cl",No promotion, PAULANER H,No specified,50 cl,1,Not image,Eroski
0.7,2.12,"Cerveza AMSTEL Oro, lata 33 cl",No promotion,AMSTEL O,lata,33 cl,1,Not image,Eroski
8.16,2.06,"Cerveza ESTRELLA DAMM, pack 12x33 cl",No promotion,ESTRELLA DAMM,No specified,33 cl,12,Not image,Eroski
6.15,2.04,"Cerveza KELER, pack botellín 12x25 cl",2ª unidad -50%,KELER,No specified,25 cl,12,Not image,Eroski
0.85,2.58,"Cerveza 1906, lata 33 cl",No promotion,1906,lata,33 cl,1,Not image,Eroski
0.55,1.67,"Cerveza 0,0 ESTRELLA GALICIA, lata 33 cl",No promotion,0 ESTRELLA GALICIA,lata,33 cl,1,Not image,Eroski
6.8,2.06,"Cerveza AMSTEL Oro, pack lata 10x33 cl",No promotion,AMSTEL O,lata,33 cl,10,Not image,Eroski
8.5,2.84,"Cerveza WOLL-DAMM, pack 12x25 cl",No promotion,WOLL,No specified,25 cl,12,Not image,Eroski
0.33,1.0,"Cerveza sin alcohol AURUM, lata 33 cl",No promotion, AURUM,lata,33 cl,1,Not image,Eroski
6.1,2.06,"Cerveza AMBAR, pack 9x33 cl",2ª unidad -50%,AMBAR,No specified,33 cl,9,Not image,Eroski
2.39,1.6,"Cerveza con limonada CRUZCAMPO Shandy, pack 6x25 cl",No promotion, CRUZCAMPO S,No specified,25 cl,6,Not image,Eroski
0.61,1.85,"Cerveza CRUZCAMPO Shandy, lata 33 cl",No promotion,CRUZCAMPO S,lata,33 cl,1,Not image,Eroski
7.32,1.85,"Cerveza 0,0 Radler AMSTEL, pack lata 12x33 cl",No promotion,0 R,lata,33 cl,12,Not image,Eroski
6.13,3.09,"Cerveza 1906 Red Vintage, pack 6x33 cl",No promotion,1906 R,No specified,33 cl,6,Not image,Eroski
0.64,1.94,"Cerveza 0,0% HEINEKEN, lata 33 cl",No promotion, HEINEKEN,lata,33 cl,1,Not image,Eroski
0.38,0.76,"Cerveza AURUM, lata 50 cl",No promotion,AURUM,lata,50 cl,1,Not image,Eroski
1.37,4.15,"Cerveza con tequila DESPERADOS, botellín 33 cl",2ª unidad -50%, DESPERADOS,No specified,33 cl,1,Not image,Eroski
0.64,1.94,"Cerveza 0,0 AMSTEL Oro, lata 33 cl",No promotion,0 AMSTEL O,lata,33 cl,1,Not image,Eroski
12.48,1.58,"Cerveza AMSTEL, pack lata 24x33 cl",No promotion,AMSTEL,lata,33 cl,24,Not image,Eroski
0.59,1.79,"Cerveza 0,0% BUCKLER Radler, lata 33 cl",No promotion, BUCKLER R,lata,33 cl,1,Not image,Eroski
0.25,0.76,"Cerveza AURUM, lata 33 cl",No promotion,AURUM,lata,33 cl,1,Not image,Eroski
0.7,0.7,"Cerveza AURUM, botella 1 litro",No promotion,AURUM,botella,", ",1,Not image,Eroski
0.55,1.67,"Cerveza sin alcohol FREE DAMM, lata 33 cl",No promotion, FREE DAMM,lata,33 cl,1,Not image,Eroski
7.39,2.48,"Cerveza HEINEKEN, pack botellín 12x25 cl",No promotion,HEINEKEN,No specified,25 cl,12,Not image,Eroski
0.49,1.48,"Cerveza 0,0% AURUM Radler, lata 33 cl",2ª unidad -50%, AURUM R,lata,33 cl,1,Not image,Eroski
0.58,1.76,"Cerveza KELER, lata 33 cl",No promotion,KELER,lata,33 cl,1,Not image,Eroski
3.15,2.12,"Cerveza AMSTEL Radler, pack botellín 6x25 cl",No promotion,AMSTEL R,No specified,25 cl,6,Not image,Eroski
0.64,1.94,"Cerveza 0,0 AMSTEL Radler, lata 33 cl",No promotion,0 AMSTEL R,lata,33 cl,1,Not image,Eroski
2.0,4.55,"Cerveza irlandesa negra GUINNESS, lata 44 cl",No promotion, GUINNESS,lata,44 cl,1,Not image,Eroski
4.99,2.52,"Cerveza Pilsen ESTRELLA GALICIA, pack botellín 6x33 cl",No promotion, ESTRELLA GALICIA,No specified,33 cl,6,Not image,Eroski
3.75,2.52,"Cerveza 0,0% HEINEKEN, pack botellín 6x25 cl",No promotion, HEINEKEN,No specified,25 cl,6,Not image,Eroski
3.42,2.28,"Cerveza ESTRELLA DAMM, pack botellín 6x25 cl",No promotion,ESTRELLA DAMM,No specified,25 cl,6,Not image,Eroski
7.55,1.91,"Cerveza 0.0% HEINEKEN, pack botellín 12x33 cl",2ª unidad -50%, HEINEKEN,No specified,33 cl,12,Not image,Eroski
2.19,1.48,"Cerveza sin alcohol BUCKLER 0, pack botellín 6x25 cl",No promotion, BUCKLER 0,No specified,25 cl,6,Not image,Eroski
0.99,3.96,"Cider LADRÓN DE MANZANAS, botellín 25 cl",2ª unidad -50%, LADRÓN DE MANZANAS,No specified,25 cl,1,Not image,Eroski
0.55,1.67,"Cerveza sin alcohol BUCKLER 0, lata 33 cl",No promotion, BUCKLER 0,lata,33 cl,1,Not image,Eroski
7.32,1.85,"Cerveza limón SHANDY, pack 12x33 cl",No promotion, SHANDY,No specified,33 cl,12,Not image,Eroski
0.69,2.09,"Cerveza ESTRELLA DAMM, lata 33 cl",No promotion,ESTRELLA DAMM,lata,33 cl,1,Not image,Eroski
1.29,3.91,"Cider LADRÓN DE MANZANAS, lata 33 cl",No promotion, LADRÓN DE MANZANAS,lata,33 cl,1,Not image,Eroski
4.2,2.8,"Cerveza extra VOLL-DAMM, pack 6x25 cl",No promotion, VOLL,No specified,25 cl,6,Not image,Eroski
0.49,1.48,"Cerveza AURUM Radler, lata 33 cl",2ª unidad -50%,AURUM R,lata,33 cl,1,Not image,Eroski
2.15,6.52,"Cerveza Punk Ipa BREWDOG, botellín 33 cl",No promotion, BREWDOG,No specified,33 cl,1,Not image,Eroski
0.38,1.15,"Cerveza clásica AMSTEL, lata 33 cl",No promotion, AMSTEL,lata,33 cl,1,Not image,Eroski
1.09,2.18,"Cerveza HEINEKEN, lata 50 cl",No promotion,HEINEKEN,lata,50 cl,1,Not image,Eroski
2.49,1.68,"Cerveza AMSTEL, pack lata 6x25 cl",No promotion,AMSTEL,lata,25 cl,6,Not image,Eroski
0.75,2.27,"Cerveza sin gluten ESTRELLA GALICIA, botellín 33 cl",No promotion, ESTRELLA GALICIA,No specified,33 cl,1,Not image,Eroski
0.53,1.61,"Cerveza tostada 6,6% vol. AURUM, lata 33 cl",No promotion, AURUM,lata,33 cl,1,Not image,Eroski
0.56,1.7,"Cerveza sin alcohol AMSTEL, lata 33 cl",No promotion, AMSTEL,lata,33 cl,1,Not image,Eroski
1.58,1.04,"Cerveza AURUM, pack botellín 6x25 cl",No promotion,AURUM,No specified,25 cl,6,Not image,Eroski
1.49,4.52,"Cerveza IPA AMBAR, botellín 33 cl",2ª unidad -50%,IPA AMBAR,No specified,33 cl,1,Not image,Eroski
1.12,3.39,"Cerveza HEINEKEN, botellín 33 cl",No promotion,HEINEKEN,No specified,33 cl,1,Not image,Eroski
0.88,2.67,"Cerveza AMBAR Export, lata 33 cl",No promotion,AMBAR E,lata,33 cl,1,Not image,Eroski
2.3,6.48,"Cerveza Ipa LAGUNITAS, botellín 35,5 cl",No promotion, LAGUNITAS,No specified,"35,5 cl",1,Not image,Eroski
1.37,4.15,"Cerveza INEDIT, botellín 33 cl",No promotion,INEDIT,No specified,33 cl,1,Not image,Eroski
0.98,2.97,"Cerveza sin gluten DAURA, botellín 33 cl",No promotion, DAURA,No specified,33 cl,1,Not image,Eroski
0.57,1.73,"Cerveza CRUZCAMPO, lata 33 cl",No promotion,CRUZCAMPO,lata,33 cl,1,Not image,Eroski
1.1,3.33,"Cerveza VOLL-DAMM, botellín 33 cl",No promotion,VOLL,No specified,33 cl,1,Not image,Eroski
1.37,4.15,"Cerveza Mojito DESPERADOS, botellín 33 cl",2ª unidad -50%, DESPERADOS,No specified,33 cl,1,Not image,Eroski
0.84,1.68,"Cerveza Hefe-Weissbier AURUM, botellín 50 cl",No promotion, AURUM,No specified,50 cl,1,Not image,Eroski
0.81,1.62,"Cerveza AMSTEL, lata 50 cl",No promotion,AMSTEL,lata,50 cl,1,Not image,Eroski
4.9,1.64,"Cerveza AMSTEL, pack botellín 12x25 cl",2ª unidad -50%,AMSTEL,No specified,25 cl,12,Not image,Eroski
0.39,1.18,"Cerveza especial AURUM, lata 33 cl",No promotion, AURUM,lata,33 cl,1,Not image,Eroski
0.58,1.76,"Cerveza extra 7,5% vol. AURUM, lata 33 cl",No promotion, AURUM,lata,33 cl,1,Not image,Eroski
1.6,1.08,"Cerveza sin alcohol 0,0% AURUM, pack botellín 6x25 cl",No promotion, AURUM,No specified,25 cl,6,Not image,Eroski
0.55,1.67,"Cerveza sin alcohol sabor limón FREE DAMM, lata 33 cl",No promotion, FREE DAMM,lata,33 cl,1,Not image,Eroski
1.61,3.22,"Cerveza con aroma de tequila DESPERADOS, lata 50 cl",No promotion, DESPERADOS,lata,50 cl,1,Not image,Eroski
0.66,2.0,"Cerveza ORO, lata 33 cl",No promotion,ORO,lata,33 cl,1,Not image,Eroski
1.02,2.04,"Cerveza ESTRELLA DAMM Estrella, lata 50 cl",No promotion,ESTRELLA DAMM E,lata,50 cl,1,Not image,Eroski
3.3,2.2,"Cerveza ORO, pack botellín 6x25 cl",No promotion,ORO,No specified,25 cl,6,Not image,Eroski
1.07,3.24,"Cerveza DAMM Lager A.K. 1876, botellín 33 cl",No promotion,DAMM L,No specified,33 cl,1,Not image,Eroski
2.75,1.84,"Cerveza sin alcohol FREE DAMM, pack 6x25 cl",2ª unidad -50%, FREE DAMM,No specified,25 cl,6,Not image,Eroski
1.38,1.38,"Cerveza KELER, botella 1 litro",No promotion,KELER,botella,", ",1,Not image,Eroski
1.6,4.85,"Cerveza Ipa COMPLOT, botellín 33 cl","1,90 € Antes", COMPLOT,No specified,33 cl,1,Not image,Eroski
0.62,1.88,"Cerveza Radler 0.0 tostada AMSTEL, lata 33 cl",2ª unidad -50%, AMSTEL,lata,33 cl,1,Not image,Eroski
0.96,2.91,"Cerveza 0,0 AMBAR Green, botellín 33 cl",No promotion,0 AMBAR G,No specified,33 cl,1,Not image,Eroski
0.99,3.96,"Cider sabor frutos rojos LADRÓN DE MANZANAS, botellín 25 cl",2ª unidad -50%, LADRÓN DE MANZANAS,No specified,25 cl,1,Not image,Eroski
0.22,0.67,"Cerveza CORGON GARD, lata 33 cl",No promotion,CORGON GARD,lata,33 cl,1,Not image,Eroski
0.68,2.06,"Cerveza extra AMSTEL, lata 33 cl",No promotion, AMSTEL,lata,33 cl,1,Not image,Eroski
1.6,2.42,"Cerveza VOLL-DAMM, botellín 66 cl",No promotion,VOLL,No specified,66 cl,1,Not image,Eroski
