price,price_liter,title,promotion,brand,container,volumen_unid,quantity_pack,image_url,supermarket,promotion_check,id,specials
2.55,7.73,montseny cerveza artesana negra stout ale botella 33 cl ,25% Bonificación por compras superiores a 10 € para tu próxima compra,montseny,botella,33 cl,1,https://sgfm.elcorteingles.es/SGFM/dctm/MEDIA03/201909/24/00118603000433____1__325x325.jpg,El Corte Ingles,yes,1138,negra artesana 
2.09,6.33,montseny cerveza de trigo artesana weizen ale botella 33 cl ,25% Bonificación por compras superiores a 10 € para tu próxima compra,montseny,botella,33 cl,1,https://sgfm.elcorteingles.es/SGFM/dctm/MEDIA03/201906/11/00118603000441____1__325x325.jpg,El Corte Ingles,yes,1139,artesana 
2.13,6.45,rosita cerveza rubia artesana de tarragona botella 33 cl ,25% Bonificación por compras superiores a 10 € para tu próxima compra,rosita,botella,33 cl,1,https://sgfm.elcorteingles.es/SGFM/dctm/MEDIA01/201310/28/00118603000284____1__325x325.jpg,El Corte Ingles,yes,1140,artesana 
2.1,6.36,rosita d'ivori  cerveza rubia artesana de tarragona botella 33 cl ,25% Bonificación por compras superiores a 10 € para tu próxima compra,rosita,botella,33 cl,1,https://sgfm.elcorteingles.es/SGFM/dctm/MEDIA03/201608/23/00118603001589____1__325x325.jpg,El Corte Ingles,yes,1141,artesana 
2.13,6.45,rosita picant  cerveza rubia artesana de tarragona botella 33 cl ,25% Bonificación por compras superiores a 10 € para tu próxima compra,rosita,botella,33 cl,1,https://sgfm.elcorteingles.es/SGFM/dctm/MEDIA03/201703/27/00118603001605____1__325x325.jpg,El Corte Ingles,yes,1142,artesana 
2.29,6.94,la virgen jamonera cerveza artesana de madrid botella 33 cl ,25% Bonificación por compras superiores a 10 € para tu próxima compra,la virgen,botella,33 cl,1,https://sgfm.elcorteingles.es/SGFM/dctm/MEDIA03/201708/24/00118603001951____1__40x40.jpg,El Corte Ingles,yes,1143,artesana 
2.18,6.61,la virgen cerveza rubia artesana variedad ipa de madrid botella 33 cl ,25% Bonificación por compras superiores a 10 € para tu próxima compra,la virgen,botella,33 cl,1,https://sgfm.elcorteingles.es/SGFM/dctm/MEDIA03/201804/10/00118603001969____2__40x40.jpg,El Corte Ingles,yes,1144,IPA artesana 
2.29,6.94,la virgen cerveza pura artesana helles lager de madrid botella 33 cl ,25% Bonificación por compras superiores a 10 € para tu próxima compra,la virgen,botella,33 cl,1,https://sgfm.elcorteingles.es/SGFM/dctm/MEDIA03/201908/28/00118602202857____1__40x40.jpg,El Corte Ingles,yes,1145,artesana 
1.99,7.96,la virgen madrid lager cerveza rubia artesana estilo helles de madrid sin gluten botella 25 cl ,25% Bonificación por compras superiores a 10 € para tu próxima compra,la virgen,botella,25 cl,1,https://sgfm.elcorteingles.es/SGFM/dctm/MEDIA03/201711/06/00118651000129____6__40x40.jpg,El Corte Ingles,yes,1146,sin gluten artesana 
1.99,7.96,la virgen 360º pale ale cerveza rubia artesana de madrid botella 25 cl ,25% Bonificación por compras superiores a 10 € para tu próxima compra,la virgen,botella,25 cl,1,https://sgfm.elcorteingles.es/SGFM/dctm/MEDIA03/201711/06/00118603001977____6__40x40.jpg,El Corte Ingles,yes,1147,artesana 
1.97,5.97,maisel & friends cerveza rubia artesana tipo ipa alemana botella 33 cl ,25% Bonificación por compras superiores a 10 € para tu próxima compra,maisel & friends,botella,33 cl,1,https://sgfm.elcorteingles.es/SGFM/dctm/MEDIA03/201710/24/00118603002041____1__40x40.jpg,El Corte Ingles,yes,1148,IPA artesana 
2.04,6.18,maisel & friends cerveza rubia artesana tipo pale ale alemana botella 33 cl ,25% Bonificación por compras superiores a 10 € para tu próxima compra,maisel & friends,botella,33 cl,1,https://sgfm.elcorteingles.es/SGFM/dctm/MEDIA03/202006/10/00118603002033____11__40x40.jpg,El Corte Ingles,yes,1149,artesana 
1.57,4.76,tyris original cerveza rubia artesana de valencia tipo lager doble fermentación botella 33 cl ,25% Bonificación por compras superiores a 10 € para tu próxima compra,tyris,botella,33 cl,1,https://sgfm.elcorteingles.es/SGFM/dctm/MEDIA03/201704/06/00118603000391____1__40x40.jpg,El Corte Ingles,yes,1150,artesana 
2.37,7.18,tyris vipa cerveza rubia artesanal de valencia variedad session ipa botella 33 cl ,25% Bonificación por compras superiores a 10 € para tu próxima compra,tyris,botella,33 cl,1,https://sgfm.elcorteingles.es/SGFM/dctm/MEDIA03/201906/11/00118603000896____6__40x40.jpg,El Corte Ingles,yes,1151,IPA artesana 
2.3,6.97,tyris ipa cerveza rubia artesana variedad indian pale ale de valencia botella 33 cl ,25% Bonificación por compras superiores a 10 € para tu próxima compra,tyris,botella,33 cl,1,https://sgfm.elcorteingles.es/SGFM/dctm/MEDIA03/201906/11/00118603002470____6__40x40.jpg,El Corte Ingles,yes,1152,IPA artesana 
1.81,5.48,tyris paquita brown cerveza tostada artesanal de valencia botella 33 cl ,25% Bonificación por compras superiores a 10 € para tu próxima compra,tyris,botella,33 cl,1,https://sgfm.elcorteingles.es/SGFM/dctm/MEDIA03/201906/11/00118603000904____6__40x40.jpg,El Corte Ingles,yes,1153,artesana 
