price,price_liter,title,promotion,brand,container,volumen_unid,quantity_pack,image_url,supermarket
16.56,2.09,ESTRELLA GALICIA cerveza rubia especial pack 24 latas 33 cl ,21% de descuento por compras superiores a 20 € en CervezasVer promoción ¡pulsa aquí!,ESTRELLA GALICIA ,lata,33 cl,24,https://cdn.grupoelcorteingles.es/SGFM/dctm/MEDIA03/201809/11/00118600301701____6__325x325.jpg,El Corte Ingles
3.54,2.36,ESTRELLA GALICIA cerveza rubia especial pack 6 botellas 25 cl ,21% de descuento por compras superiores a 20 € en CervezasVer promoción ¡pulsa aquí!,ESTRELLA GALICIA ,botella,25 cl,6,https://cdn.grupoelcorteingles.es/SGFM/dctm/MEDIA03/202009/08/00118602200042____4__325x325.jpg,El Corte Ingles
6.49,2.7,ESTRELLA GALICIA Mini cerveza rubia especial pack 12 botellas 20 cl ,21% de descuento por compras superiores a 20 € en CervezasVer promoción ¡pulsa aquí!,ESTRELLA GALICIA Mini ,botella,20 cl,12,https://cdn.grupoelcorteingles.es/SGFM/dctm/MEDIA03/201709/29/00118602202865____1__325x325.jpg,El Corte Ingles
0.71,2.15,ESTRELLA GALICIA cerveza rubia especial lata 33 cl ,21% de descuento por compras superiores a 20 € en CervezasVer promoción ¡pulsa aquí!,ESTRELLA GALICIA ,lata,33 cl,1,https://cdn.grupoelcorteingles.es/SGFM/dctm/MEDIA03/201902/12/00118600300034____2__325x325.jpg,El Corte Ingles
6.04,3.05,ESTRELLA GALICIA Receta Original cerveza rubia pack 6 botella 33 cl Edición Especial 110 Aniversario,21% de descuento por compras superiores a 20 € en CervezasVer promoción ¡pulsa aquí!,ESTRELLA GALICIA Receta Original ,botella,33 cl,6,https://cdn.grupoelcorteingles.es/SGFM/dctm/MEDIA03/201605/06/00118602202618____1__40x40.jpg,El Corte Ingles
1.04,2.08,ESTRELLA GALICIA cerveza rubia especial lata 50 cl ,21% de descuento por compras superiores a 20 € en CervezasVer promoción ¡pulsa aquí!,ESTRELLA GALICIA ,lata,50 cl,1,https://cdn.grupoelcorteingles.es/SGFM/dctm/MEDIA03/201809/11/00118600301206____2__40x40.jpg,El Corte Ingles
3.28,2.19,ESTRELLA GALICIA cerveza rubia especial mini pack 6 lata 25 cl ,21% de descuento por compras superiores a 20 € en CervezasVer promoción ¡pulsa aquí!,ESTRELLA GALICIA ,lata,25 cl,6,https://cdn.grupoelcorteingles.es/SGFM/dctm/MEDIA02/CONTENIDOS/201407/21/00118600301230____1__40x40.jpg,El Corte Ingles
3.29,2.74,ESTRELLA GALICIA Mini cerveza rubia Especial pack 6 botellas 20 cl ,21% de descuento por compras superiores a 20 € en CervezasVer promoción ¡pulsa aquí!,ESTRELLA GALICIA Mini ,botella,20 cl,6,https://cdn.grupoelcorteingles.es/SGFM/dctm/MEDIA03/201809/11/00118602201909____2__40x40.jpg,El Corte Ingles
12.83,2.14,ESTRELLA GALICIA cerveza rubia especial pack 24 botellas 25 cl ,21% de descuento por compras superiores a 20 € en CervezasVer promoción ¡pulsa aquí!,ESTRELLA GALICIA ,botella,25 cl,24,https://cdn.grupoelcorteingles.es/SGFM/dctm/MEDIA03/202002/24/00118602202956____3__40x40.jpg,El Corte Ingles
3.49,4.65,ESTRELLA GALICIA Estrella de Navidad cerveza rubia nacional botella 75 cl ,21% de descuento por compras superiores a 20 € en CervezasVer promoción ¡pulsa aquí!,ESTRELLA GALICIA Estrella de Navidad ,botella,75 cl,1,https://cdn.grupoelcorteingles.es/SGFM/dctm/MEDIA03/201811/27/00118602202543____8__40x40.jpg,El Corte Ingles
11.89,3.0,1906 cerveza rubia Reserva Especial pack 12 botellas 33 cl ,21% de descuento por compras superiores a 20 € en CervezasVer promoción ¡pulsa aquí!,1906 ,botella,33 cl,12,https://cdn.grupoelcorteingles.es/SGFM/dctm/MEDIA03/202004/01/00118602700272____5__40x40.jpg,El Corte Ingles
6.0,3.03,1906 cerveza rubia Reserva Especial pack 6 botellas 33 cl ,21% de descuento por compras superiores a 20 € en CervezasVer promoción ¡pulsa aquí!,1906 ,botella,33 cl,6,https://cdn.grupoelcorteingles.es/SGFM/dctm/MEDIA03/202004/01/00118602800254____4__40x40.jpg,El Corte Ingles
0.89,2.7,1906 cerveza rubia Reserva Especial lata 33 cl ,21% de descuento por compras superiores a 20 € en CervezasVer promoción ¡pulsa aquí!,1906 ,lata,33 cl,1,https://cdn.grupoelcorteingles.es/SGFM/dctm/MEDIA03/202005/28/00118602700090____4__40x40.jpg,El Corte Ingles
6.13,3.1,1906 Red Vintage La Colorada cerveza rubia Reserva Especial pack 6 botellas 33 cl ,21% de descuento por compras superiores a 20 € en CervezasVer promoción ¡pulsa aquí!,1906 Red Vintage La Colorada ,botella,33 cl,6,https://cdn.grupoelcorteingles.es/SGFM/dctm/MEDIA03/202005/28/00118602202238____2__40x40.jpg,El Corte Ingles
9.29,2.35,VOLL DAMM cerveza rubia nacional doble malta pack 12 latas 33 cl ,21% de descuento por compras superiores a 20 € en CervezasVer promoción ¡pulsa aquí!,VOLL DAMM ,lata,33 cl,12,https://cdn.grupoelcorteingles.es/SGFM/dctm/MEDIA03/201902/12/00118602700108____2__40x40.jpg,El Corte Ingles
4.37,2.91,VOLL DAMM extra doble malta cerveza rubia con lúpulo aromático pack 6 botellas 25 cl ,21% de descuento por compras superiores a 20 € en CervezasVer promoción ¡pulsa aquí!,VOLL DAMM extra doble malta ,botella,25 cl,6,https://cdn.grupoelcorteingles.es/SGFM/dctm/MEDIA03/201902/12/00118602800304____2__325x325.jpg,El Corte Ingles
8.5,6.99,"(2,33 € / Litro)",VOLL DAMM extra doble malta cerveza rubia con lúpulo aromático pack 12 botellas 25 cl ..SECOND OFFERT: 21% de descuento por compras superiores a 20 € en CervezasVer promoción ¡pulsa aquí!,"(2,33 € / Litro)",No specified,"2,33 ",1,https://cdn.grupoelcorteingles.es/SGFM/dctm/MEDIA03/201906/11/00118602800809____1__325x325.jpg,El Corte Ingles
0.81,2.45,VOLL DAMM cerveza rubia doble malta lata 33 cl ,21% de descuento por compras superiores a 20 € en CervezasVer promoción ¡pulsa aquí!,VOLL DAMM ,lata,33 cl,1,https://cdn.grupoelcorteingles.es/SGFM/dctm/MEDIA03/201906/11/00118602700082____1__325x325.jpg,El Corte Ingles
