price,price_liter,title,promotion,brand,container,volumen_unid,quantity_pack,image_url,supermarket
1.49,2.98,"Cerveza alemana PAULANER Heffe Weissbier, botellín 50 cl",No promotion,alemana paulaner heffe weissbier,No specified,50 cl,1,https://supermercado.eroski.es/images/8370710.jpg,Eroski
0.85,2.58,"Cerveza 1906, lata 33 cl",No promotion,1906,lata,33 cl,1,https://supermercado.eroski.es/images/6822365.jpg,Eroski
0.7,2.12,"Cerveza AMSTEL Oro, lata 33 cl",No promotion,amstel oro,lata,33 cl,1,https://supermercado.eroski.es/images/17818915.jpg,Eroski
6.15,2.04,"Cerveza KELER, pack botellín 12x25 cl",No promotion,keler,No specified,25 cl,12,https://supermercado.eroski.es/images/9189531.jpg,Eroski
8.16,2.06,"Cerveza ESTRELLA DAMM, pack 12x33 cl",No promotion,estrella damm,No specified,33 cl,12,https://supermercado.eroski.es/images/10858314.jpg,Eroski
6.8,2.06,"Cerveza AMSTEL Oro, pack lata 10x33 cl",2ª unidad -50%,amstel oro,lata,33 cl,10,https://supermercado.eroski.es/images/22212476.jpg,Eroski
0.55,1.67,"Cerveza 0,0 ESTRELLA GALICIA, lata 33 cl",No promotion,"0,0 estrella galicia",lata,33 cl,1,https://supermercado.eroski.es/images/14226609.jpg,Eroski
6.99,2.32,"Cerveza WOLL-DAMM, pack 12x25 cl","8,50 € Antes",woll-damm,No specified,25 cl,12,https://supermercado.eroski.es/images/17820432.jpg,Eroski
6.1,2.06,"Cerveza AMBAR, pack 9x33 cl",No promotion,ambar,No specified,33 cl,9,https://supermercado.eroski.es/images/5595384.jpg,Eroski
0.33,1.0,"Cerveza sin alcohol AURUM, lata 33 cl",No promotion,sin alcohol aurum,lata,33 cl,1,https://supermercado.eroski.es/images/10830842.jpg,Eroski
2.39,1.6,"Cerveza con limonada CRUZCAMPO Shandy, pack 6x25 cl",2ª unidad -50%,con limonada cruzcampo shandy,No specified,25 cl,6,https://supermercado.eroski.es/images/45278.jpg,Eroski
0.61,1.85,"Cerveza CRUZCAMPO Shandy, lata 33 cl",No promotion,cruzcampo shandy,lata,33 cl,1,https://supermercado.eroski.es/images/8351769.jpg,Eroski
7.32,1.85,"Cerveza 0,0 Radler AMSTEL, pack lata 12x33 cl",No promotion,"0,0 radler amstel",lata,33 cl,12,https://supermercado.eroski.es/images/22212369.jpg,Eroski
6.13,3.09,"Cerveza 1906 Red Vintage, pack 6x33 cl",No promotion,1906 red vintage,No specified,33 cl,6,https://supermercado.eroski.es/images/15748403.jpg,Eroski
1.37,4.15,"Cerveza con tequila DESPERADOS, botellín 33 cl",2ª unidad -50%,con tequila desperados,No specified,33 cl,1,https://supermercado.eroski.es/images/15872799.jpg,Eroski
0.64,1.94,"Cerveza 0,0 AMSTEL Oro, lata 33 cl",2ª unidad -50%,"0,0 amstel oro",lata,33 cl,1,https://supermercado.eroski.es/images/22213078.jpg,Eroski
0.65,1.97,"Cerveza 0,0% HEINEKEN, lata 33 cl",No promotion,"0,0% heineken",lata,33 cl,1,https://supermercado.eroski.es/images/19465418.jpg,Eroski
0.38,0.76,"Cerveza AURUM, lata 50 cl",No promotion,aurum,lata,50 cl,1,https://supermercado.eroski.es/images/5135546.jpg,Eroski
0.59,1.79,"Cerveza 0,0% BUCKLER Radler, lata 33 cl",No promotion,"0,0% buckler radler",lata,33 cl,1,https://supermercado.eroski.es/images/16848509.jpg,Eroski
12.48,1.58,"Cerveza AMSTEL, pack lata 24x33 cl",No promotion,amstel,lata,33 cl,24,https://supermercado.eroski.es/images/12829362.jpg,Eroski
0.25,0.76,"Cerveza AURUM, lata 33 cl",No promotion,aurum,lata,33 cl,1,https://supermercado.eroski.es/images/5135538.jpg,Eroski
0.7,0.7,"Cerveza AURUM, botella 1 litro",No promotion,aurum,botella,1 l,1,https://supermercado.eroski.es/images/954446.jpg,Eroski
0.55,1.67,"Cerveza sin alcohol FREE DAMM, lata 33 cl",No promotion,sin alcohol free damm,lata,33 cl,1,https://supermercado.eroski.es/images/151340.jpg,Eroski
0.49,1.48,"Cerveza 0,0% AURUM Radler, lata 33 cl",2ª unidad -50%,"0,0% aurum radler",lata,33 cl,1,https://supermercado.eroski.es/images/18662569.jpg,Eroski
7.39,2.48,"Cerveza HEINEKEN, pack botellín 12x25 cl",No promotion,heineken,No specified,25 cl,12,https://supermercado.eroski.es/images/18625467.jpg,Eroski
