price,price_liter,title,promotion,brand,container,volumen_unid,quantity_pack,image_url,supermarket,id
5.16,1.3,cervezas sin alcohol mahou pack de 12 latas de 33 cl.,No promotion,"mahou sin alcohol 0,0%",lata,33 cl,12,https://www.alcampo.es/media/hd7/h14/9021163044894.jpg,Alcampo,420
0.52,1.57,"cerveza sin alcohol (0,0% vol.) estrella galicia lata de 33 centilitros",No promotion,"estrella galicia sin alcohol 0,0%",lata,33 c,1,https://www.alcampo.es/media/h21/hce/8952670158878.jpg,Alcampo,421
0.57,1.72,cerveza con limón damm lemon 33cl.,No promotion,damm,No specified,33cl,1,https://www.alcampo.es/media/h91/ha2/9460756021278.jpg,Alcampo,422
3.24,2.16,"cerveza 0,0 tostada mahou pack 6 uds. x 25 cl",No promotion,"mahou sin alcohol 0,0%",No specified,25 cl,6,https://www.alcampo.es/media/h1e/he1/9543193690142.jpg,Alcampo,423
0.59,1.78,cerveza amstel extra lata de 33 cl.,No promotion,amstel extra,lata,33 cl,1,https://www.alcampo.es/media/h1d/hbc/9630042652702.jpg,Alcampo,424
4.02,2.03,cervezas reserva extra especial 1906 pack 6 uds. x 33 cl,No promotion,estrella galicia 1906,No specified,33 cl,6,https://www.alcampo.es/media/h96/h2e/10033585061918.jpg,Alcampo,425
7.14,1.8,cervezas alhambra especial pack de 12 uds. x 33 cl.,No promotion,alhambra especial,No specified,33 cl,12,https://www.alcampo.es/media/hab/h2d/9659369127966.jpg,Alcampo,426
4.14,1.38,cerveza rubia y aroma ligeramente afrutado mahou pack12 botellas de 25 cl.,No promotion,mahou 5 estrellas,botella,25 cl,12,https://www.alcampo.es/media/hd5/h2c/9021154852894.jpg,Alcampo,427
0.57,1.72,cerveza carlsberg lata de 33 centilitros,No promotion,carlsberg,lata,33 c,1,https://www.alcampo.es/media/h6a/hd2/10486221340702.jpg,Alcampo,428
5.94,2.78,"cerveza mexicana corona cesta 6 botellas x 35,5 cl. ",No promotion,mexicana,botella,"35,5 cl",1,https://www.alcampo.es/media/hce/he8/9186550906910.jpg,Alcampo,429
0.24,0.72,cerveza sin alcohol de origen español heifer lata de 33 cl.,No promotion,heifer,lata,33 cl,1,https://www.alcampo.es/media/hc2/h4c/8898051178526.jpg,Alcampo,430
0.67,2.03,cerveza rubia de sabor neutral y con lúpulo acentuado estrella galicia lata 33 cl.,No promotion,estrella galicia,lata,33 cl,1,https://www.alcampo.es/media/h07/h97/8952650235934.jpg,Alcampo,431
3.12,1.57,"cerveza sin alcohol (0,0% vol.) estrella galicia pack de 6 latas de 33 centilitros",No promotion,"estrella galicia sin alcohol 0,0%",lata,33 c,6,https://www.alcampo.es/media/he8/h74/8952645484574.jpg,Alcampo,432
3.84,0.96,cervezas amstel clásica pack de 12 latas de 33 cl.,No promotion,amstel clasica,lata,33 cl,12,https://www.alcampo.es/media/h72/h91/9546902077470.jpg,Alcampo,433
0.99,3.0,cerveza inedit damm botella de 33 cl.,No promotion,inedit,botella,33 cl,1,https://www.alcampo.es/media/h36/h75/8898359328798.jpg,Alcampo,434
0.6,1.81,"cerveza sin gluten ambar, lata de 33 cl.",No promotion,ambar sin gluten,lata,33 cl,1,https://www.alcampo.es/media/h03/h4a/8927266603038.jpg,Alcampo,435
1.15,2.61,"cerveza premium extra lúpulo, ipa ambar lata 44 cl. ",No promotion,ambar ipa,lata,44 cl,1,https://www.alcampo.es/media/h70/he9/9770112942110.jpg,Alcampo,436
6.7,2.23,cerveza  heineken botella pack de 12 uds de 25 cl.,No promotion,heineken,botella,25 cl,12,https://www.alcampo.es/media/hd6/h39/9546828578846.jpg,Alcampo,437
2.24,1.49,cervezas sin alcohol alhambra pack de 6 uds x 25 cl.,No promotion,"alhambra sin alcohol 0,0%",No specified,25 cl,6,https://www.alcampo.es/media/hfc/hd9/9492130365470.jpg,Alcampo,438
0.59,1.78,"cerveza (0,0% alcohol) con sabor a limón ambar lemon lata de 33 cl.",No promotion,"ambar sin alcohol 0,0%",lata,33 cl,1,https://www.alcampo.es/media/hff/h6d/9915975467038.jpg,Alcampo,439
2.21,1.47,cervezas sin alcohol 0% san miguel pack 6 uds. x  25 cl.,No promotion,"san miguel sin alcohol 0,0%",No specified,25 cl,1,https://www.alcampo.es/media/h17/hdb/10397054009374.jpg,Alcampo,440
0.94,2.84,"cerveza sin gluten mahou, botella de 33 cl.",No promotion,mahou sin gluten,botella,33 cl,1,https://www.alcampo.es/media/hd9/h46/8902326091806.jpg,Alcampo,441
3.34,2.22,"cerveza0,0% heineken pack 6 x 25 cl",No promotion,"heineken sin alcohol 0,0%",No specified,25 cl,1,https://www.alcampo.es/media/h79/h3d/10034012258334.jpg,Alcampo,442
0.61,1.84,cerveza alhambra radler 33 cl.,No promotion,alhambra radler,No specified,33 cl,1,https://www.alcampo.es/media/hfc/he3/9543192543262.jpg,Alcampo,443
2.99,2.26,"cerveza sin gluten estrella galicia especial, 4 uds x de 33 cl.",No promotion,estrella galicia sin gluten,No specified,33 cl,1,https://www.alcampo.es/media/hdd/h5b/8871029375006.jpg,Alcampo,444
1.0,3.03,cerveza mojito tequila desperados 33 cl.,No promotion,desperado,No specified,33 cl,1,https://www.alcampo.es/media/hf3/h6b/9546841358366.jpg,Alcampo,445
1.26,3.81,cerveza tipo abadía belga leffe blonde botella 33 cl.,No promotion,leffe,botella,33 cl,1,https://www.alcampo.es/media/h01/h68/8952581324830.jpg,Alcampo,446
1.61,3.65,cerveza negra guinness draught lata 44 cl.,No promotion,guinness,lata,44 cl,1,https://www.alcampo.es/media/h3e/hf9/9629956800542.jpg,Alcampo,447
0.51,1.54,cerveza sin alcohol amstel lata de 33 centilitros,No promotion,"amstel sin alcohol 0,0%",lata,33 c,1,https://www.alcampo.es/media/hc3/hbd/9546860331038.jpg,Alcampo,448
0.89,0.89,cerveza amstel clásica botella de 1 litro,No promotion,amstel clasica,No specified,1 L,1,https://www.alcampo.es/media/h08/h15/9546822123550.jpg,Alcampo,449
11.69,1.94,cerveza mahou 5 estrellas pack de 24 botellines de 25 cl ,No promotion,mahou 5 estrellas,No specified,25 cl,24,https://www.alcampo.es/media/h63/h09/9511081279518.jpg,Alcampo,450
1.0,1.0,cerveza san miguel 1 l.,No promotion,san miguel,No specified,1 l,1,https://www.alcampo.es/media/hef/hd8/10397050044446.jpg,Alcampo,451
